"hour","district","rev5","rev1","rev2","rev3","rev4"
"4am","101",3123.74,3763.73,2991.91,4228.36,4648.08
"4am","102",8776.38,13858.71,7921.18,12316.12,13123.02
"4am","103",8208.5,12023.18,15261.83,16602.09,7153.78
"4am","104",9399.48,9919.61,10215.13,15648.87,10194.12
"4am","105",14887.88,21944.47,18805.11,17188.84,12349.31
"4am","106",9180.85,13745.23,14623.22,21710.99,16253.8
"4am","107",16778.84,26333.05,23932.86,25190.4,12156.31
"4am","108",18901.89,20874.35,21388.06,28542.36,16310.53
"4am","109",8883.14,14126.74,12113.14,9350.09,2861.15
"4am","110",12061.22,16106.36,17103.42,23703.3,10850.03
"4am","111",6778.15,15211.63,14140.67,14097.04,6676.71
"4am","112",12222.08,13686.93,17851.87,19753.83,8961.78
"4am","113",6791.16,6752.02,11221.35,12540.23,4862.22
"4am","114",10167,7436.05,12612.31,10515.82,5804.79
"4am","115",526.42,578.6,1233.46,803.35,222.45
"4am","116",6675.34,5492.77,9832.77,9282.26,4502.33
"4am","117",13586.88,15394.36,16979.94,11559.53,3623.41
"4am","118",15383.28,19229.46,18276.36,11515.55,3202.97
"4am","119",17341.66,11589.22,18922.45,16165.6,11586.22
"4am","120",3224.31,1118.01,1752.29,3444.58,5997.94
"4am","121",3370.84,1410.44,2581.94,4358.33,6432.19
"4am","122",4293.05,899.09,1624.87,4219.37,5567.06
"4am","123",1456.67,621.78,1319.09,752.21,1684.66
"4am","124",7743.25,4764.53,5197.82,5445.55,3541.24
"4am","125",777.05,209.52,324.66,1020.31,1580.57
"4am","126",639.63,1225.2,907.52,1206.56,237.84
"4am","127",8441.9,10986.32,12593.99,15221.19,9347.82
"4am","128",12997.82,11036.44,17960.01,14349.32,5946.25
"4am","129",5697.39,5649.92,5595.54,9075.05,4757.31
"4am","130",3593.97,2168.77,4574.98,5380.43,3485.36
"4am","131",6617.6,1459.48,4681.87,8138.31,5529.54
"4am","132",8715.36,3365.05,10877.95,11017.32,5722.3
"4am","133",736.32,224.23,1264.78,1549.08,873.5
"4am","134",2480.38,607.5,2177.92,3961.75,2577.64
"4am","135",429.8,844.16,937.67,389.25,292.6
"4am","136",10394.18,6449.55,13234.45,13712.17,7041.77
"4am","137",5071.38,797,2820.21,4757.7,4020.21
"4am","138",4114.29,433.3,2027.33,4326.94,4451.8
"4am","139",883.55,237.4,344.87,768.34,902.12
"4am","140",1365.21,370.67,633.55,989.39,779.31
"4am","141",162.84,25.85,79.65,152.49,283
"4am","301",4316.15,5931.17,6694.95,7760.96,4120.27
"4am","302",9185.17,6170.58,10387.84,18637.8,12505.57
"4am","303",4686.97,3845.05,6751.49,6385.59,1994.03
"4am","304",3201.17,1622.7,1907.57,4768.73,6127.36
"4am","305",760.86,673.1,1421.67,821.83,296.73
"4am","306",3070.22,1670.13,3422.08,4672.07,1939.29
"4am","307",11809.96,6705.06,18018.95,20648.74,8108.7
"4am","308",14622.48,5657.67,15941.34,18890.31,10586.36
"4am","309",6678.3,1413.19,5335.05,10343.17,10232.9
"4am","310",3798.74,884.32,3305.29,6114.48,6265.72
"4am","401",3742.21,2170.73,6582.38,7191.5,2560.63
"4am","402",4848.87,1352.31,6661.89,7893.71,5936.3
"4am","403",18029.24,10953.77,19417.72,15911.07,6980.92
"4am","404",10549.65,4324.25,12149.67,14882.7,8356.65
"4am","405",9856.61,3265.09,10315.91,13617.14,7078.06
"4am","406",14298.75,10025.64,17151.96,18136.28,7277.29
"4am","407",4815.82,2399.56,5618.16,6723.23,3487.57
"4am","408",5601.97,1700.03,7406.93,5779.29,2900.31
"4am","501",1690.86,1035.13,2235.85,2387.33,789.86
"4am","502",1435.67,1167.8,2578.71,1898.8,591.5
"4am","511",10852.85,10963.31,22406.16,22155.19,7610.85
"4am","521",4641.4,1433.75,5658.64,8578.44,5211.37
"4am","522",1818,700.34,2956.45,4310.97,2728.21
"4am","523",3777.65,2327.02,6471.69,6920.89,2774.12
"4am","524",4019.89,1975.52,5069.36,6484.05,4441.99
"4am","525",885.46,602.84,1926.33,1332.86,803.23
"4am","531",4575.01,1858.84,7702.28,10615.3,5685.4
"4am","532",5219.53,2131.62,5943.72,9193.19,4772.87
"4am","533",5821.76,6525.78,9430.67,7564.36,2991.8
"4am","541",1117.94,807.05,1328.03,1586.47,664.76
"4am","542",3140.75,1483.79,3718.98,5861,3861.39
"4am","543",3234.33,762.27,2738.94,4695.84,3870.03
"4am","544",5927.41,3167.59,10920.51,13176.03,5492.51
"4am","545",1870.72,1036.15,3110.07,3746.6,1133.08
"4am","546",8738.19,4588.93,12170.28,10022.8,3784.33
"4am","547",1504.52,1562.71,1550.75,1334.71,325.43
"4am","551",1897.1,1541.77,3796.91,3227.22,1295.29
"4am","561",1720.27,1854.82,3040.82,2466.7,997.69
"4am","562",5686.01,6555.26,9482.11,9108.38,2782.04
"4am","563",492.32,622.17,810.65,688.03,225.98
"4am","564",898.35,443.98,1181.81,1612.5,669.89
"4am","571",2381.84,1603.72,4828.22,5883.49,1500.89
"4am","572",5586.22,2697.1,8430.02,9116.05,3682.11
"4am","573",4687.86,2577.63,6977.89,8903.27,4344.92
"4am","574",3456.6,925.73,4089.25,5616.46,4502.16
"4am","575",1377.48,912.03,1555.62,1352.53,1073.66
"4am","576",1628.61,1590.06,3415.11,3486.02,1065.18
"4am","601",2230.44,2150.49,4553.86,3873.61,986
"4am","602",7342.73,9570.59,11647.63,11855.9,4130.47
"4am","611",12162.71,5641.43,19781.75,23090.44,10997.29
"4am","612",4459.39,2453.73,8007.91,7348.68,2491.52
"4am","621",3590.34,1525.25,5418.7,8778.6,3780.91
"4am","622",7854.86,3990.35,11711.81,13254.25,5692.92
"4am","623",5569.67,2752.57,11338.7,8990.56,4843.51
"4am","624",3129.76,1646.58,6218.08,4944.85,1416.01
"4am","631",5992.9,4352.32,10213.9,11427.54,3723.3
"4am","632",2027.29,1253.62,4225.94,4052.16,2399.28
"4am","633",4326.72,2587.68,8252.38,9056.06,3629.7
"4am","641",3988.37,1673.3,5639.23,5296.18,4084.63
"4am","642",4106.55,3458.39,4395.6,6718.77,3645.41
"4am","643",7369.39,2661.22,8959.73,13063.7,8128.52
"4am","644",3813.43,1417.95,6072.34,8951.08,6382.3
"4am","645",2202.89,1321.66,3971.4,3316.26,790.39
"4am","651",3754.27,3724.86,10033.52,10519.44,3759.29
"4am","661",10659.4,11053.54,14751.07,16246.07,4709
"4am","662",1074.13,860.67,3147.45,3447.45,1349.77
"4am","663",4445.55,3308.14,7908.34,7914.49,2943.45
"4am","671",4457.23,5888.82,11187.57,6615.96,1829.13
"4am","672",1461.43,1569.07,2907.57,1963.83,738.86
"4am","673",1579.36,1780.05,2590.47,2074.93,564.85
"4am","681",4211.71,4242.1,6443.82,4866.67,2112.45
"4am","691",6739.26,4023.69,7493.3,8219.37,4598.41
"5am","101",3223.99,3919.58,3355.09,4555.71,4814
"5am","102",8930.84,13896.05,8056.26,12464.32,13230.56
"5am","103",8189.99,12067.74,15235.78,16552.08,7202.75
"5am","104",9439.86,9945.02,10281.55,15668.82,10203.47
"5am","105",14931.78,21956.42,18776.45,17209.99,12468.9
"5am","106",9180.85,13765.66,14645.49,21887.57,16337.24
"5am","107",16811.31,26333.05,24038.38,25328.79,12059.48
"5am","108",18937.73,20878.59,21612.96,28804.31,16528.41
"5am","109",8935.19,14129.42,12289.17,9411.69,2931.21
"5am","110",12047.17,16049,17200.86,23718.65,10866.96
"5am","111",6842,15247.14,14296.99,14178.36,6731.2
"5am","112",12233.5,13705.02,17947.33,19836.26,8941.73
"5am","113",6767.15,6752.02,11221.83,12552.68,4916.35
"5am","114",10092.59,7468.31,12515.37,10548.86,5746.98
"5am","115",542.22,603.82,1326.37,942.89,235.81
"5am","116",6724.58,5525.45,9820.54,9439.27,4578.86
"5am","117",13566.91,15332.6,17177.27,11610.8,3647.46
"5am","118",15544.94,19249.83,18167.27,11432.67,3171.28
"5am","119",17663.87,11728.35,19456.57,16814.28,11984.36
"5am","120",3241.17,1118.01,1776.14,3444.58,5982.41
"5am","121",3404.26,1410.44,2595.97,4358.33,6432.19
"5am","122",4293.05,899.09,1624.87,4219.37,5587.11
"5am","123",1456.67,621.78,1319.09,752.21,1684.66
"5am","124",7743.25,4764.53,5197.82,5445.55,3541.24
"5am","125",777.05,209.52,324.66,1020.31,1596.55
"5am","126",644.06,1216.23,907.52,1206.56,237.84
"5am","127",8457.91,10940.19,12610.04,15154.81,9326.22
"5am","128",12995.49,11089.13,18045.71,14388.96,6002.9
"5am","129",5735.72,5634.17,5735.02,9124.93,4783.04
"5am","130",3758.78,2120.94,4900.12,5705.31,3649.51
"5am","131",6617.6,1510.01,4712.09,8179.76,5547.76
"5am","132",8715.36,3365.05,10845.69,10989.76,5726.11
"5am","133",736.32,224.23,1264.78,1506.23,873.5
"5am","134",2480.38,607.5,2141.42,3963.34,2562.52
"5am","135",429.8,797.84,937.67,400.31,292.6
"5am","136",10408.17,6449.55,13132.21,13709.42,6955.26
"5am","137",5071.38,797,2887.97,4776,4020.21
"5am","138",4114.29,433.3,2027.33,4371.85,4451.8
"5am","139",902.28,258.99,370.22,785.8,917.09
"5am","140",1365.21,370.67,649.41,979.11,779.31
"5am","141",162.84,25.85,79.65,152.49,283
"5am","301",4332.69,5931.17,6674.7,7783.75,4120.27
"5am","302",9189.08,6148.91,10449.61,18618.22,12523.85
"5am","303",4675.13,3845.05,6684.99,6329.52,1994.03
